|6.6.6
PYR-Ringwood88_2.tab                                                                                
           2
T(K)    
   400.00360000000001     
   19.999960000020000     
         181
P(bar)  
   15001.334999999999     
   5114.9322988556905     
         262
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  1440.002       15001.33       3368.445      0.3543407E-04   1202.528       7.604739       4.393719     -0.1132362E+08
  1460.001       15001.33       3366.050      0.3568990E-04   1204.281       7.590803       4.385951     -0.1129955E+08
  1480.001       15001.33       3363.640      0.3595005E-04   1206.037       7.576775       4.378155     -0.1127545E+08
  1500.001       15001.33       3361.213      0.3621470E-04   1207.799       7.562654       4.370330     -0.1125131E+08
  1520.001       15001.33       3358.771      0.3648406E-04   1209.568       7.548438       4.362478     -0.1122713E+08
  1540.001       15001.33       3356.311      0.3675832E-04   1211.347       7.534125       4.354597     -0.1120292E+08
  1560.001       15001.33       3353.836      0.3703770E-04   1213.136       7.519713       4.346687     -0.1117868E+08
  1580.001       15001.33       3351.343      0.3732241E-04   1214.937       7.505200       4.338747     -0.1115440E+08
  1600.001       15001.33       3348.832      0.3761269E-04   1216.753       7.490584       4.330778     -0.1113008E+08
  1620.001       15001.33       3346.304      0.3790878E-04   1218.584       7.475861       4.322778     -0.1110573E+08
  1640.001       15001.33       3343.758      0.3821093E-04   1220.433       7.461031       4.314749     -0.1108134E+08
  1660.001       15001.33       3341.193      0.3851942E-04   1222.300       7.446090       4.306688     -0.1105691E+08
  1680.001       15001.33       3276.126      0.4146561E-04   1226.787       7.117206       4.149138     -0.1100901E+08
  1700.001       15001.33       3273.396      0.4190336E-04   1229.000       7.099732       4.141139     -0.1098446E+08
  1720.001       15001.33       3270.639      0.4235257E-04   1231.256       7.082103       4.133106     -0.1095985E+08
  1740.001       15001.33       3267.855      0.4281379E-04   1233.556       7.064315       4.125040     -0.1093521E+08
  1760.001       15001.33       3265.043      0.4328760E-04   1235.905       7.046364       4.116939     -0.1091051E+08
  1780.001       15001.33       3262.201      0.4377464E-04   1238.305       7.028246       4.108802     -0.1088577E+08
  1800.001       15001.33       3259.330      0.4427558E-04   1240.760       7.009954       4.100630     -0.1086098E+08
  1820.001       15001.33       3256.429      0.4479113E-04   1243.273       6.991485       4.092421     -0.1083614E+08
  1840.001       15001.33       3253.496      0.4532206E-04   1245.848       6.972832       4.084174     -0.1081125E+08
  1860.001       15001.33       3250.530      0.4586921E-04   1248.489       6.953990       4.075888     -0.1078631E+08
  1880.001       15001.33       3247.532      0.4643345E-04   1251.200       6.934952       4.067563     -0.1076131E+08
  1900.001       15001.33       3244.498      0.4701574E-04   1253.985       6.915712       4.059198     -0.1073626E+08
  1920.001       15001.33       3241.430      0.4761712E-04   1256.850       6.896263       4.050791     -0.1071115E+08
  1940.001       15001.33       3238.324      0.4823870E-04   1259.800       6.876598       4.042341     -0.1068598E+08
  1960.000       15001.33       3224.346      0.4907023E-04   1261.470       6.788443       4.005594     -0.1064979E+08
  1980.000       15001.33       3221.160      0.4977866E-04   1264.680       6.767490       3.997133     -0.1062453E+08
  2000.000       15001.33       3217.932      0.5051321E-04   1267.998       6.746284       3.988626     -0.1059920E+08
  2020.000       15001.33       3214.658      0.5127554E-04   1271.434       6.724816       3.980072     -0.1057380E+08
  2040.000       15001.33       3211.338      0.5206749E-04   1274.995       6.703076       3.971469     -0.1054834E+08
  2060.000       15001.33       3207.969      0.5289104E-04   1278.690       6.681052       3.962815     -0.1052280E+08
  2080.000       15001.33       3204.550      0.5374840E-04   1282.529       6.658733       3.954108     -0.1049719E+08
  2100.000       15001.33       3201.079      0.5464198E-04   1286.523       6.636106       3.945348     -0.1047150E+08
  2120.000       15001.33       3197.553      0.5557442E-04   1290.682       6.613157       3.936531     -0.1044573E+08
  2140.000       15001.33       3193.970      0.5654868E-04   1295.021       6.589873       3.927656     -0.1041987E+08
  2160.000       15001.33       3190.328      0.5756801E-04   1299.553       6.566237       3.918720     -0.1039393E+08
  2180.000       15001.33       3186.623      0.5863605E-04   1304.295       6.542232       3.909721     -0.1036789E+08
  2200.000       15001.33       3182.853      0.5975685E-04   1309.263       6.517840       3.900657     -0.1034176E+08
  2220.000       15001.33       3179.014      0.6093496E-04   1314.479       6.493041       3.891524     -0.1031552E+08
  2240.000       15001.33       3175.103      0.6217551E-04   1319.963       6.467814       3.882319     -0.1028917E+08
  2260.000       15001.33       3171.116      0.6348428E-04   1325.742       6.442134       3.873039     -0.1026272E+08
  2280.000       15001.33       3167.049      0.6486784E-04   1331.844       6.415975       3.863680     -0.1023614E+08
  2300.000       15001.33       3162.897      0.6633371E-04   1338.301       6.389308       3.854238     -0.1020944E+08
  2320.000       15001.33       3158.655      0.6789052E-04   1345.151       6.362103       3.844709     -0.1018261E+08
  2340.000       15001.33       3160.349      0.5556101E-04   1322.032       6.832958       3.966122     -0.1012810E+08
  2360.000       15001.33       3156.817      0.5626590E-04   1326.169       6.814812       3.957605     -0.1010161E+08
  2380.000       15001.33       3153.244      0.5699822E-04   1330.457       6.796423       3.949017     -0.1007505E+08
  2400.000       15001.33       3149.628      0.5776006E-04   1334.908       6.777780       3.940356     -0.1004840E+08
  2420.000       15001.33       3145.966      0.5855380E-04   1339.535       6.758871       3.931618     -0.1002165E+08
  2440.000       15001.33       3142.259      0.5938208E-04   1344.354       6.739680       3.922801      -9994813.    
  2459.999       15001.33       3138.502      0.6024792E-04   1349.379       6.720193       3.913900      -9967876.    
  2479.999       15001.33       3134.694      0.6115474E-04   1354.631       6.700392       3.904912      -9940837.    
  2499.999       15001.33       3131.061      0.6209767E-04   1360.110       6.681052       3.896883      -9913320.    
  2519.999       15001.33       3127.144      0.6309728E-04   1365.874       6.660582       3.887713      -9886060.    
  2539.999       15001.33       3123.168      0.6415141E-04   1371.938       6.639738       3.878441      -9858683.    
  2559.999       15001.33       3119.129      0.6526616E-04   1378.336       6.618492       3.869061      -9831181.    
  2579.999       15001.33       3115.024      0.6644876E-04   1385.105       6.596815       3.859564      -9803547.    
  2599.999       15001.33       3110.848      0.6770782E-04   1392.295       6.574674       3.849945      -9775774.    
  2619.999       15001.33       3106.597      0.6905371E-04   1399.959       6.552029       3.840193      -9747852.    
  2639.999       15001.33       3102.265      0.7049906E-04   1408.168       6.528836       3.830298      -9719772.    
  2659.999       15001.33       3097.847      0.7205950E-04   1417.007       6.505042       3.820248      -9691522.    
  2679.999       15001.33       3093.334      0.7375462E-04   1426.581       6.480585       3.810028      -9663087.    
  2699.999       15001.33       3088.718      0.7560946E-04   1437.028       6.455392       3.799623      -9634453.    
  2719.999       15001.33       3083.989      0.7765664E-04   1448.526       6.429373       3.789010      -9605600.    
  2739.999       15001.33       3079.134      0.7993975E-04   1461.314       6.402416       3.778165      -9576504.    
  2759.999       15001.33       3074.138      0.8251871E-04   1475.722       6.374383       3.767054      -9547137.    
  2779.999       15001.33       3068.980      0.8547887E-04   1492.223       6.345095       3.755638      -9517461.    
  2799.999       15001.33       3063.635      0.8894727E-04   1511.525       6.314315       3.743858      -9487430.    
  2819.999       15001.33       3058.067      0.9312411E-04   1534.753       6.281721       3.731637      -9456975.    
  2839.999       15001.33       3052.225      0.9835039E-04   1563.844       6.246851       3.718858      -9426002.    
  2859.999       15001.33       3046.029      0.1052754E-03   1602.537       6.209021       3.705333      -9394361.    
  2879.999       15001.33       3039.341      0.1153778E-03   1659.482       6.167183       3.690722      -9361786.    
  2899.999       15001.33       3031.864      0.1334115E-03   1762.891       6.120534       3.674242      -9327700.    
  2919.999       15001.33       3022.455      0.9273747E-04   2226.667       5.664945       3.652589      -9289790.    
  2939.999       15001.33       3030.684      0.1125408E-03   1627.434       6.173342       3.691672      -9267715.    
  2959.998       15001.33       3029.329      0.1690020E-03   1847.651       6.126842       3.691842      -9229628.    
  2979.998       15001.33       3010.492      0.7763593E-04   1509.501       6.351124       3.647885      -9225387.    
  2999.998       15001.33       3005.754      0.7994594E-04   1527.172       6.328754       3.636776      -9195026.    
  3019.998       15001.33       3000.872      0.8272464E-04   1548.777       6.305592       3.625330      -9164275.    
  3039.998       15001.33       2995.810      0.8628358E-04   1576.984       6.281461       3.613447      -9133033.    
  3059.998       15001.33       2990.505      0.9138843E-04   1618.328       6.256161       3.600937      -9101114.    
  3079.998       15001.33       2984.806      0.1007921E-03   1696.058       6.230657       3.587354      -9068082.    
  3099.998       15001.33       2978.002      0.7313100E-04   2084.993       5.835616       3.570532      -9031879.    
  3119.998       15001.33       3022.201      0.8538455E-04   1546.503       6.284681       3.638348      -9049894.    
  3139.998       15001.33       3016.985      0.8738001E-04   1560.522       6.259353       3.626319      -9018826.    
  3159.998       15001.33       3011.653      0.8953791E-04   1575.749       6.233377       3.614089      -8987466.    
  3179.998       15001.33       3006.195      0.9188791E-04   1592.420       6.206692       3.601643      -8955787.    
  3199.998       15001.33       3000.600      0.9446990E-04   1610.853       6.179220       3.588961      -8923758.    
  3219.998       15001.33       2994.851      0.9733988E-04   1631.504       6.150866       3.576022      -8891339.    
  3239.998       15001.33       2988.932      0.1005810E-03   1655.053       6.121504       3.562797      -8858479.    
  3259.998       15001.33       2982.817      0.1043261E-03   1682.601       6.090971       3.549250      -8825111.    
  3279.998       15001.33       2976.472      0.1088103E-03   1716.113       6.059033       3.535332      -8791137.    
  3299.998       15001.33       2969.841      0.1145159E-03   1759.649       6.025355       3.520964      -8756403.    
  3319.998       15001.33       2962.825      0.1227051E-03   1823.837       5.989536       3.506009      -8720623.    
