|6.6.6
PYR-Ringwood88_2.tab                                                                                
           2
T(K)    
   400.00360000000001     
   19.999960000020000     
         181
P(bar)  
   15001.334999999999     
   5114.9322988556905     
         262
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  2739.999       383276.5       4584.344      0.2323702E-04   1262.586       11.20614       6.017547      -1105182.    
  2759.999       383276.5       4582.212      0.2328392E-04   1263.755       11.19934       6.010973      -1079918.    
  2779.999       383276.5       4580.077      0.2333100E-04   1264.927       11.19253       6.004378      -1054631.    
  2799.999       383276.5       4577.938      0.2337826E-04   1266.102       11.18571       5.997762      -1029321.    
  2819.999       383276.5       4575.796      0.2342572E-04   1267.280       11.17886       5.991125      -1003987.    
  2839.999       383276.5       4573.650      0.2347337E-04   1268.460       11.17200       5.984468      -978630.1    
  2859.999       383276.5       4571.501      0.2352122E-04   1269.644       11.16512       5.977789      -953249.2    
  2879.999       383276.5       4569.349      0.2356928E-04   1270.830       11.15823       5.971088      -927844.5    
  2899.999       383276.5       4567.194      0.2361753E-04   1272.020       11.15131       5.964366      -902416.0    
  2919.999       383276.5       4565.035      0.2366599E-04   1273.213       11.14438       5.957623      -876963.8    
  2939.999       383276.5       4562.872      0.2371467E-04   1274.410       11.13743       5.950857      -851487.6    
  2959.998       383276.5       4560.706      0.2376355E-04   1275.610       11.13046       5.944070      -825987.5    
  2979.998       383276.5       4558.537      0.2381265E-04   1276.814       11.12348       5.937261      -800463.3    
  2999.998       383276.5       4556.364      0.2386198E-04   1278.021       11.11648       5.930429      -774915.0    
  3019.998       383276.5       4554.188      0.2391152E-04   1279.233       11.10946       5.923575      -749342.6    
  3039.998       383276.5       4552.008      0.2396129E-04   1280.448       11.10242       5.916698      -723745.8    
  3059.998       383276.5       4549.825      0.2401129E-04   1281.667       11.09536       5.909799      -698124.8    
  3079.998       383276.5       4547.639      0.2406151E-04   1282.891       11.08828       5.902877      -672479.2    
  3099.998       383276.5       4545.448      0.2411198E-04   1284.118       11.08119       5.895932      -646809.2    
  3119.998       383276.5       4543.255      0.2416268E-04   1285.350       11.07408       5.888964      -621114.6    
  3139.998       383276.5       4541.057      0.2421362E-04   1286.587       11.06694       5.881972      -595395.3    
  3159.998       383276.5       4538.856      0.2426480E-04   1287.828       11.05979       5.874957      -569651.2    
  3179.998       383276.5       4536.652      0.2431623E-04   1289.074       11.05262       5.867918      -543882.3    
  3199.998       383276.5       4534.444      0.2436792E-04   1290.324       11.04543       5.860856      -518088.4    
  3219.998       383276.5       4532.232      0.2441985E-04   1291.579       11.03823       5.853769      -492269.4    
  3239.998       383276.5       4530.017      0.2447204E-04   1292.839       11.03100       5.846658      -466425.3    
  3259.998       383276.5       4527.798      0.2452449E-04   1294.104       11.02375       5.839523      -440555.9    
  3279.998       383276.5       4525.575      0.2457720E-04   1295.375       11.01648       5.832364      -414661.2    
  3299.998       383276.5       4523.349      0.2463018E-04   1296.650       11.00920       5.825180      -388741.0    
  3319.998       383276.5       4521.119      0.2468342E-04   1297.931       11.00189       5.817970      -362795.3    
  3339.998       383276.5       4518.885      0.2473694E-04   1299.217       10.99457       5.810736      -336823.9    
  3359.998       383276.5       4516.647      0.2479074E-04   1300.508       10.98722       5.803477      -310826.7    
  3379.998       383276.5       4514.406      0.2484481E-04   1301.805       10.97985       5.796192      -284803.6    
  3399.998       383276.5       4512.161      0.2489916E-04   1303.108       10.97247       5.788881      -258754.6    
  3419.998       383276.5       4509.912      0.2495380E-04   1304.416       10.96506       5.781545      -232679.4    
  3439.998       383276.5       4507.659      0.2500873E-04   1305.730       10.95763       5.774183      -206578.0    
  3459.997       383276.5       4505.403      0.2506395E-04   1307.050       10.95018       5.766794      -180450.3    
  3479.997       383276.5       4503.143      0.2511946E-04   1308.377       10.94271       5.759379      -154296.1    
  3499.997       383276.5       4500.878      0.2517527E-04   1309.709       10.93522       5.751938      -128115.3    
  3519.997       383276.5       4498.610      0.2523139E-04   1311.047       10.92771       5.744469      -101907.8    
  3539.997       383276.5       4496.338      0.2528781E-04   1312.392       10.92018       5.736974      -75673.48    
  3559.997       383276.5       4494.062      0.2534454E-04   1313.743       10.91263       5.729451      -49412.20    
  3579.997       383276.5       4491.782      0.2540158E-04   1315.101       10.90505       5.721901      -23123.83    
  3599.997       383276.5       4489.498      0.2545894E-04   1316.465       10.89745       5.714323       3191.753    
  3619.997       383276.5       4487.210      0.2551662E-04   1317.836       10.88983       5.706718       29534.69    
  3639.997       383276.5       4484.918      0.2557462E-04   1319.213       10.88219       5.699084       55905.10    
  3659.997       383276.5       4482.622      0.2563295E-04   1320.598       10.87453       5.691422       82303.14    
  3679.997       383276.5       4428.128      0.3395177E-04   1417.212       10.69054       5.628728       341807.2    
  3699.997       383276.5       4425.117      0.3405770E-04   1419.674       10.68330       5.621071       370176.0    
  3719.997       383276.5       4422.099      0.3416444E-04   1422.155       10.67605       5.613372       398594.2    
  3739.997       383276.5       4419.074      0.3427202E-04   1424.656       10.66876       5.605634       427062.2    
  3759.997       383276.5       4416.041      0.3438044E-04   1427.175       10.66145       5.597853       455580.4    
  3779.997       383276.5       4413.001      0.3448972E-04   1429.715       10.65411       5.590031       484149.2    
  3799.997       383276.5       4409.953      0.3459986E-04   1432.274       10.64674       5.582167       512769.0    
  3819.997       383276.5       4406.898      0.3471088E-04   1434.853       10.63935       5.574260       541440.2    
  3839.997       383276.5       4403.834      0.3482279E-04   1437.453       10.63192       5.566310       570163.1    
  3859.997       383276.5       4400.763      0.3493561E-04   1440.074       10.62447       5.558317       598938.3    
  3879.997       383276.5       4397.685      0.3504934E-04   1442.716       10.61699       5.550279       627766.1    
  3899.997       383276.5       4394.598      0.3516400E-04   1445.379       10.60948       5.542196       656646.9    
  3919.997       383276.5       4391.503      0.3527960E-04   1448.064       10.60194       5.534068       685581.3    
  3939.997       383276.5       4388.401      0.3539616E-04   1450.771       10.59437       5.525894       714569.5    
  3959.996       383276.5       4385.290      0.3551368E-04   1453.501       10.58677       5.517674       743612.1    
  3979.996       383276.5       4382.171      0.3563219E-04   1456.253       10.57914       5.509407       772709.5    
  3999.996       383276.5       4379.044      0.3575170E-04   1459.028       10.57148       5.501092       801862.3    
  400.0036       388391.4       4817.804      0.1412269E-04   853.7622       11.90323       6.656892      -3729627.    
  420.0036       388391.4       4816.423      0.1453851E-04   878.3462       11.89925       6.653229      -3712302.    
  440.0035       388391.4       4815.005      0.1491606E-04   900.5742       11.89515       6.649463      -3694509.    
  460.0035       388391.4       4809.403      0.1517194E-04   921.0354       11.89034       6.650189      -3673480.    
  480.0034       388391.4       4807.929      0.1548177E-04   939.2485       11.88602       6.646253      -3654874.    
  500.0034       388391.4       4806.427      0.1576534E-04   955.8288       11.88162       6.642240      -3635921.    
  520.0034       388391.4       4804.899      0.1602559E-04   970.9582       11.87715       6.638155      -3616651.    
  540.0033       388391.4       4803.347      0.1626511E-04   984.7968       11.87260       6.634004      -3597091.    
  560.0033       388391.4       4801.774      0.1648618E-04   997.4849       11.86799       6.629791      -3577267.    
  580.0032       388391.4       4800.181      0.1669077E-04   1009.146       11.86332       6.625521      -3557199.    
  600.0032       388391.4       4798.570      0.1688063E-04   1019.888       11.85859       6.621198      -3536907.    
  620.0032       388391.4       4796.942      0.1705731E-04   1029.808       11.85381       6.616826      -3516409.    
  640.0031       388391.4       4795.297      0.1722216E-04   1038.987       11.84899       6.612407      -3495720.    
  660.0031       388391.4       4793.638      0.1737638E-04   1047.502       11.84411       6.607944      -3474854.    
  680.0030       388391.4       4791.966      0.1752102E-04   1055.417       11.83920       6.603439      -3453824.    
  700.0030       388391.4       4790.280      0.1765701E-04   1062.790       11.83424       6.598896      -3432641.    
  720.0030       388391.4       4788.583      0.1778519E-04   1069.674       11.82925       6.594316      -3411316.    
  740.0029       388391.4       4786.874      0.1790629E-04   1076.112       11.82422       6.589700      -3389858.    
  760.0029       388391.4       4785.154      0.1802097E-04   1082.147       11.81915       6.585051      -3368274.    
  780.0028       388391.4       4783.425      0.1812981E-04   1087.815       11.81406       6.580370      -3346574.    
  800.0028       388391.4       4781.686      0.1823333E-04   1093.147       11.80893       6.575659      -3324764.    
  820.0028       388391.4       4779.938      0.1833201E-04   1098.174       11.80377       6.570918      -3302851.    
  840.0027       388391.4       4778.181      0.1842627E-04   1102.921       11.79859       6.566149      -3280840.    
  860.0027       388391.4       4776.416      0.1851647E-04   1107.412       11.79337       6.561352      -3258736.    
  880.0026       388391.4       4774.643      0.1860297E-04   1111.668       11.78813       6.556530      -3236545.    
  900.0026       388391.4       4772.863      0.1868607E-04   1115.707       11.78287       6.551682      -3214271.    
  920.0026       388391.4       4771.076      0.1876605E-04   1119.548       11.77758       6.546809      -3191918.    
  940.0025       388391.4       4769.282      0.1884316E-04   1123.205       11.77227       6.541913      -3169490.    
  960.0025       388391.4       4767.481      0.1891762E-04   1126.694       11.76694       6.536993      -3146991.    
  980.0024       388391.4       4765.674      0.1898965E-04   1130.026       11.76158       6.532051      -3124424.    
  1000.002       388391.4       4763.861      0.1905943E-04   1133.213       11.75620       6.527086      -3101791.    
  1020.002       388391.4       4762.043      0.1912713E-04   1136.267       11.75080       6.522100      -3079097.    
  1040.002       388391.4       4760.218      0.1919292E-04   1139.197       11.74539       6.517093      -3056342.    
  1060.002       388391.4       4758.388      0.1925693E-04   1142.011       11.73995       6.512066      -3033530.    
  1080.002       388391.4       4756.553      0.1931930E-04   1144.719       11.73449       6.507018      -3010662.    
  1100.002       388391.4       4754.712      0.1938014E-04   1147.326       11.72901       6.501950      -2987742.    
  1120.002       388391.4       4752.867      0.1943957E-04   1149.841       11.72352       6.496862      -2964770.    
  1140.002       388391.4       4751.017      0.1949769E-04   1152.270       11.71800       6.491756      -2941749.    
  1160.002       388391.4       4749.162      0.1955459E-04   1154.617       11.71247       6.486630      -2918680.    
  1180.002       388391.4       4747.302      0.1961035E-04   1156.890       11.70692       6.481486      -2895565.    
  1200.002       388391.4       4745.438      0.1966507E-04   1159.092       11.70136       6.476323      -2872405.    
  1220.002       388391.4       4743.569      0.1971881E-04   1161.228       11.69577       6.471142      -2849202.    
  1240.002       388391.4       4741.697      0.1977164E-04   1163.303       11.69017       6.465943      -2825957.    
  1260.002       388391.4       4739.819      0.1982362E-04   1165.319       11.68456       6.460726      -2802670.    
  1280.002       388391.4       4737.938      0.1987481E-04   1167.282       11.67892       6.455491      -2779344.    
  1300.002       388391.4       4736.053      0.1992527E-04   1169.194       11.67327       6.450239      -2755980.    
  1320.002       388391.4       4734.164      0.1997504E-04   1171.058       11.66761       6.444969      -2732577.    
  1340.002       388391.4       4732.270      0.2002418E-04   1172.877       11.66193       6.439682      -2709138.    
  1360.002       388391.4       4730.373      0.2007273E-04   1174.655       11.65623       6.434378      -2685662.    
  1380.002       388391.4       4728.472      0.2012072E-04   1176.393       11.65052       6.429057      -2662152.    
  1400.002       388391.4       4726.568      0.2016820E-04   1178.093       11.64479       6.423719      -2638607.    
  1420.002       388391.4       4724.659      0.2021521E-04   1179.759       11.63905       6.418364      -2615029.    
  1440.002       388391.4       4722.747      0.2026176E-04   1181.391       11.63329       6.412992      -2591417.    
  1460.001       388391.4       4720.832      0.2030791E-04   1182.993       11.62752       6.407604      -2567773.    
  1480.001       388391.4       4718.912      0.2035367E-04   1184.565       11.62173       6.402199      -2544098.    
  1500.001       388391.4       4716.990      0.2039908E-04   1186.110       11.61593       6.396777      -2520391.    
  1520.001       388391.4       4715.064      0.2044416E-04   1187.629       11.61011       6.391339      -2496654.    
  1540.001       388391.4       4713.134      0.2048893E-04   1189.123       11.60428       6.385884      -2472886.    
  1560.001       388391.4       4711.201      0.2053342E-04   1190.594       11.59843       6.380413      -2449089.    
  1580.001       388391.4       4709.264      0.2057765E-04   1192.044       11.59257       6.374925      -2425263.    
  1600.001       388391.4       4707.325      0.2062163E-04   1193.473       11.58670       6.369421      -2401408.    
  1620.001       388391.4       4705.382      0.2066540E-04   1194.882       11.58081       6.363901      -2377524.    
  1640.001       388391.4       4703.435      0.2070896E-04   1196.273       11.57490       6.358364      -2353613.    
  1660.001       388391.4       4701.485      0.2075234E-04   1197.647       11.56898       6.352810      -2329674.    
  1680.001       388391.4       4699.533      0.2079555E-04   1199.004       11.56305       6.347240      -2305707.    
  1700.001       388391.4       4697.576      0.2083860E-04   1200.346       11.55710       6.341654      -2281714.    
  1720.001       388391.4       4695.617      0.2088151E-04   1201.674       11.55114       6.336051      -2257694.    
  1740.001       388391.4       4693.654      0.2092430E-04   1202.988       11.54516       6.330432      -2233647.    
  1760.001       388391.4       4691.688      0.2096697E-04   1204.288       11.53917       6.324797      -2209574.    
  1780.001       388391.4       4689.720      0.2100955E-04   1205.577       11.53317       6.319145      -2185476.    
  1800.001       388391.4       4687.747      0.2105204E-04   1206.854       11.52715       6.313477      -2161351.    
  1820.001       388391.4       4685.772      0.2109444E-04   1208.121       11.52111       6.307792      -2137202.    
  1840.001       388391.4       4683.794      0.2113679E-04   1209.377       11.51506       6.302090      -2113027.    
  1860.001       388391.4       4681.812      0.2117908E-04   1210.624       11.50900       6.296372      -2088827.    
  1880.001       388391.4       4679.827      0.2122132E-04   1211.861       11.50293       6.290637      -2064602.    
  1900.001       388391.4       4677.840      0.2126352E-04   1213.090       11.49683       6.284886      -2040353.    
  1920.001       388391.4       4675.849      0.2130570E-04   1214.311       11.49073       6.279118      -2016079.    
  1940.001       388391.4       4673.855      0.2134786E-04   1215.525       11.48461       6.273333      -1991780.    
  1960.000       388391.4       4671.858      0.2139001E-04   1216.732       11.47847       6.267532      -1967458.    
  1980.000       388391.4       4669.858      0.2143216E-04   1217.932       11.47232       6.261713      -1943111.    
  2000.000       388391.4       4667.854      0.2147431E-04   1219.126       11.46616       6.255878      -1918741.    
  2020.000       388391.4       4665.848      0.2151648E-04   1220.315       11.45998       6.250026      -1894346.    
  2040.000       388391.4       4663.839      0.2155866E-04   1221.498       11.45379       6.244157      -1869928.    
  2060.000       388391.4       4661.826      0.2160088E-04   1222.676       11.44758       6.238270      -1845487.    
  2080.000       388391.4       4659.811      0.2164312E-04   1223.849       11.44136       6.232367      -1821021.    
  2100.000       388391.4       4657.792      0.2168540E-04   1225.019       11.43513       6.226447      -1796533.    
  2120.000       388391.4       4655.770      0.2172773E-04   1226.184       11.42888       6.220509      -1772021.    
  2140.000       388391.4       4653.746      0.2177011E-04   1227.346       11.42261       6.214554      -1747486.    
  2160.000       388391.4       4651.718      0.2181255E-04   1228.505       11.41633       6.208581      -1722927.    
  2180.000       388391.4       4649.687      0.2185505E-04   1229.660       11.41004       6.202591      -1698346.    
  2200.000       388391.4       4647.653      0.2189762E-04   1230.813       11.40373       6.196584      -1673741.    
  2220.000       388391.4       4645.616      0.2194026E-04   1231.963       11.39740       6.190559      -1649113.    
  2240.000       388391.4       4643.576      0.2198298E-04   1233.112       11.39106       6.184516      -1624463.    
  2260.000       388391.4       4641.533      0.2202578E-04   1234.258       11.38471       6.178456      -1599789.    
  2280.000       388391.4       4639.487      0.2206867E-04   1235.403       11.37834       6.172378      -1575092.    
  2300.000       388391.4       4637.438      0.2211166E-04   1236.546       11.37196       6.166282      -1550373.    
  2320.000       388391.4       4635.385      0.2215473E-04   1237.688       11.36556       6.160167      -1525631.    
  2340.000       388391.4       4633.330      0.2219792E-04   1238.829       11.35914       6.154035      -1500866.    
  2360.000       388391.4       4631.271      0.2224120E-04   1239.969       11.35271       6.147885      -1476078.    
  2380.000       388391.4       4629.210      0.2228460E-04   1241.108       11.34627       6.141716      -1451267.    
  2400.000       388391.4       4627.145      0.2232811E-04   1242.247       11.33981       6.135529      -1426434.    
  2420.000       388391.4       4625.077      0.2237173E-04   1243.386       11.33333       6.129323      -1401577.    
  2440.000       388391.4       4623.006      0.2241548E-04   1244.525       11.32684       6.123099      -1376698.    
  2459.999       388391.4       4620.932      0.2245936E-04   1245.664       11.32034       6.116857      -1351796.    
  2479.999       388391.4       4618.855      0.2250336E-04   1246.803       11.31381       6.110595      -1326872.    
  2499.999       388391.4       4616.774      0.2254750E-04   1247.943       11.30728       6.104315      -1301924.    
  2519.999       388391.4       4614.691      0.2259177E-04   1249.083       11.30072       6.098016      -1276954.    
  2539.999       388391.4       4612.604      0.2263618E-04   1250.224       11.29415       6.091697      -1251961.    
  2559.999       388391.4       4610.514      0.2268074E-04   1251.366       11.28757       6.085360      -1226945.    
  2579.999       388391.4       4608.421      0.2272544E-04   1252.510       11.28097       6.079003      -1201907.    
  2599.999       388391.4       4606.325      0.2277030E-04   1253.654       11.27435       6.072627      -1176845.    
  2619.999       388391.4       4604.226      0.2281531E-04   1254.800       11.26772       6.066232      -1151761.    
  2639.999       388391.4       4602.123      0.2286047E-04   1255.947       11.26107       6.059816      -1126653.    
  2659.999       388391.4       4600.018      0.2290580E-04   1257.097       11.25440       6.053382      -1101523.    
  2679.999       388391.4       4597.909      0.2295129E-04   1258.247       11.24772       6.046927      -1076369.    
  2699.999       388391.4       4595.797      0.2299695E-04   1259.400       11.24102       6.040452      -1051193.    
  2719.999       388391.4       4593.681      0.2304278E-04   1260.555       11.23431       6.033958      -1025994.    
  2739.999       388391.4       4591.563      0.2308878E-04   1261.712       11.22758       6.027443      -1000771.    
  2759.999       388391.4       4589.441      0.2313495E-04   1262.872       11.22083       6.020908      -975525.2    
  2779.999       388391.4       4587.316      0.2318131E-04   1264.033       11.21407       6.014352      -950256.2    
  2799.999       388391.4       4585.187      0.2322785E-04   1265.198       11.20728       6.007776      -924964.0    
  2819.999       388391.4       4583.055      0.2327457E-04   1266.365       11.20049       6.001179      -899648.4    
  2839.999       388391.4       4580.920      0.2332149E-04   1267.535       11.19367       5.994561      -874309.5    
  2859.999       388391.4       4578.782      0.2336859E-04   1268.707       11.18684       5.987923      -848947.1    
  2879.999       388391.4       4576.640      0.2341589E-04   1269.883       11.17999       5.981263      -823561.3    
  2899.999       388391.4       4574.495      0.2346339E-04   1271.062       11.17312       5.974582      -798151.9    
  2919.999       388391.4       4572.347      0.2351108E-04   1272.244       11.16624       5.967880      -772718.9    
  2939.999       388391.4       4570.195      0.2355899E-04   1273.429       11.15934       5.961157      -747262.3    
  2959.998       388391.4       4568.040      0.2360709E-04   1274.618       11.15242       5.954411      -721781.9    
  2979.998       388391.4       4565.882      0.2365541E-04   1275.810       11.14548       5.947644      -696277.7    
  2999.998       388391.4       4563.720      0.2370394E-04   1277.006       11.13853       5.940855      -670749.6    
  3019.998       388391.4       4561.555      0.2375269E-04   1278.205       11.13156       5.934044      -645197.5    
  3039.998       388391.4       4559.386      0.2380165E-04   1279.409       11.12457       5.927211      -619621.4    
  3059.998       388391.4       4557.214      0.2385084E-04   1280.616       11.11756       5.920356      -594021.3    
  3079.998       388391.4       4555.038      0.2390025E-04   1281.827       11.11053       5.913477      -568396.9    
  3099.998       388391.4       4552.859      0.2394988E-04   1283.043       11.10349       5.906577      -542748.3    
  3119.998       388391.4       4550.677      0.2399975E-04   1284.263       11.09643       5.899653      -517075.3    
  3139.998       388391.4       4548.491      0.2404985E-04   1285.486       11.08935       5.892707      -491377.8    
  3159.998       388391.4       4546.301      0.2410019E-04   1286.715       11.08225       5.885737      -465655.9    
  3179.998       388391.4       4544.108      0.2415077E-04   1287.948       11.07513       5.878744      -439909.3    
  3199.998       388391.4       4541.911      0.2420158E-04   1289.185       11.06799       5.871728      -414138.1    
  3219.998       388391.4       4539.711      0.2425265E-04   1290.427       11.06084       5.864688      -388342.0    
  3239.998       388391.4       4537.507      0.2430396E-04   1291.674       11.05366       5.857624      -362521.1    
  3259.998       388391.4       4535.300      0.2435552E-04   1292.925       11.04647       5.850536      -336675.2    
  3279.998       388391.4       4533.089      0.2440734E-04   1294.182       11.03925       5.843424      -310804.2    
  3299.998       388391.4       4530.874      0.2445942E-04   1295.444       11.03202       5.836288      -284908.0    
  3319.998       388391.4       4528.656      0.2451175E-04   1296.710       11.02477       5.829128      -258986.5    
  3339.998       388391.4       4526.434      0.2456435E-04   1297.982       11.01750       5.821942      -233039.6    
  3359.998       388391.4       4524.209      0.2461722E-04   1299.260       11.01021       5.814732      -207067.3    
  3379.998       388391.4       4521.979      0.2467036E-04   1300.542       11.00290       5.807497      -181069.3    
  3399.998       388391.4       4519.746      0.2472377E-04   1301.831       10.99556       5.800237      -155045.7    
  3419.998       388391.4       4517.510      0.2477745E-04   1303.124       10.98821       5.792951      -128996.2    
  3439.998       388391.4       4515.269      0.2483142E-04   1304.424       10.98084       5.785640      -102920.8    
  3459.997       388391.4       4513.025      0.2488567E-04   1305.729       10.97345       5.778302      -76819.34    
  3479.997       388391.4       4510.777      0.2494020E-04   1307.040       10.96604       5.770939      -50691.73    
  3499.997       388391.4       4508.525      0.2499503E-04   1308.357       10.95860       5.763550      -24537.83    
  3519.997       388391.4       4506.269      0.2505014E-04   1309.680       10.95115       5.756134       1642.458    
  3539.997       388391.4       4504.010      0.2510556E-04   1311.009       10.94368       5.748692       27849.27    
  3559.997       388391.4       4501.746      0.2516127E-04   1312.344       10.93618       5.741223       54082.72    
  3579.997       388391.4       4499.479      0.2521728E-04   1313.685       10.92866       5.733727       80342.95    
  3599.997       388391.4       4497.208      0.2527361E-04   1315.033       10.92113       5.726204       106630.1    
  3619.997       388391.4       4494.932      0.2533024E-04   1316.388       10.91357       5.718653       132944.2    
  3639.997       388391.4       4492.653      0.2538718E-04   1317.749       10.90598       5.711075       159285.5    
  3659.997       388391.4       4490.370      0.2544444E-04   1319.116       10.89838       5.703469       185654.1    
  3679.997       388391.4       4488.083      0.2550203E-04   1320.491       10.89076       5.695835       212050.1    
  3699.997       388391.4       4433.784      0.3377220E-04   1416.934       10.70881       5.636492       471161.2    
  3719.997       388391.4       4430.786      0.3387679E-04   1419.378       10.70162       5.628876       499524.3    
  3739.997       388391.4       4427.780      0.3398217E-04   1421.841       10.69441       5.621220       527936.4    
  3759.997       388391.4       4424.767      0.3408837E-04   1424.322       10.68717       5.613524       556397.9    
  3779.997       388391.4       4421.747      0.3419540E-04   1426.822       10.67990       5.605787       584909.3    
  3799.997       388391.4       4418.719      0.3430327E-04   1429.342       10.67261       5.598008       613470.8    
  3819.997       388391.4       4415.684      0.3441198E-04   1431.881       10.66528       5.590188       642082.9    
  3839.997       388391.4       4412.641      0.3452155E-04   1434.441       10.65793       5.582326       670746.1    
  3859.997       388391.4       4409.591      0.3463200E-04   1437.020       10.65056       5.574422       699460.6    
  3879.997       388391.4       4406.533      0.3474333E-04   1439.620       10.64315       5.566474       728226.9    
  3899.997       388391.4       4403.467      0.3485556E-04   1442.241       10.63572       5.558482       757045.4    
  3919.997       388391.4       4400.393      0.3496870E-04   1444.882       10.62826       5.550447       785916.5    
  3939.997       388391.4       4397.312      0.3508276E-04   1447.546       10.62077       5.542366       814840.7    
  3959.996       388391.4       4394.223      0.3519775E-04   1450.231       10.61325       5.534241       843818.3    
  3979.996       388391.4       4391.125      0.3531370E-04   1452.938       10.60570       5.526070       872849.9    
  3999.996       388391.4       4388.020      0.3543060E-04   1455.667       10.59812       5.517852       901935.9    
  400.0036       393506.3       4824.041      0.1404087E-04   852.8290       11.92046       6.663395      -3624126.    
  420.0036       393506.3       4822.667      0.1445540E-04   877.4558       11.91650       6.659749      -3606819.    
  440.0035       393506.3       4821.254      0.1483180E-04   899.7246       11.91243       6.656002      -3589044.    
  460.0035       393506.3       4819.807      0.1517441E-04   919.9024       11.90826       6.652161      -3570844.    
  480.0034       393506.3       4814.199      0.1539525E-04   938.4818       11.90353       6.653019      -3549346.    
  500.0034       393506.3       4812.703      0.1567795E-04   955.0951       11.89916       6.649024      -3530408.    
  520.0034       393506.3       4811.182      0.1593740E-04   970.2551       11.89471       6.644958      -3511152.    
  540.0033       393506.3       4809.637      0.1617617E-04   984.1221       11.89019       6.640826      -3491606.    
  560.0033       393506.3       4808.070      0.1639653E-04   996.8364       11.88560       6.636632      -3471795.    
  580.0032       393506.3       4806.484      0.1660046E-04   1008.522       11.88095       6.632382      -3451740.    
  600.0032       393506.3       4804.879      0.1678969E-04   1019.286       11.87625       6.628078      -3431460.    
  620.0032       393506.3       4803.257      0.1696578E-04   1029.226       11.87150       6.623725      -3410974.    
  640.0031       393506.3       4801.620      0.1713005E-04   1038.425       11.86670       6.619325      -3390296.    
  660.0031       393506.3       4799.967      0.1728372E-04   1046.957       11.86185       6.614882      -3369442.    
  680.0030       393506.3       4798.302      0.1742782E-04   1054.887       11.85696       6.610398      -3348422.    
  700.0030       393506.3       4796.623      0.1756330E-04   1062.275       11.85203       6.605875      -3327250.    
  720.0030       393506.3       4794.932      0.1769097E-04   1069.172       11.84706       6.601314      -3305935.    
  740.0029       393506.3       4793.230      0.1781158E-04   1075.623       11.84206       6.596719      -3284486.    
  760.0029       393506.3       4791.517      0.1792578E-04   1081.669       11.83702       6.592091      -3262913.    
  780.0028       393506.3       4789.794      0.1803414E-04   1087.346       11.83195       6.587430      -3241222.    
  800.0028       393506.3       4788.062      0.1813721E-04   1092.688       11.82685       6.582739      -3219422.    
  820.0028       393506.3       4786.321      0.1823543E-04   1097.723       11.82172       6.578019      -3197517.    
  840.0027       393506.3       4784.571      0.1832923E-04   1102.478       11.81656       6.573271      -3175515.    
  860.0027       393506.3       4782.813      0.1841899E-04   1106.975       11.81138       6.568496      -3153420.    
  880.0026       393506.3       4781.047      0.1850505E-04   1111.237       11.80617       6.563694      -3131238.    
  900.0026       393506.3       4779.274      0.1858771E-04   1115.282       11.80093       6.558867      -3108972.    
  920.0026       393506.3       4777.494      0.1866726E-04   1119.127       11.79567       6.554016      -3086628.    
  940.0025       393506.3       4775.707      0.1874393E-04   1122.789       11.79039       6.549141      -3064209.    
  960.0025       393506.3       4773.914      0.1881796E-04   1126.281       11.78508       6.544243      -3041718.    
  980.0024       393506.3       4772.114      0.1888956E-04   1129.617       11.77975       6.539323      -3019159.    
  1000.002       393506.3       4770.308      0.1895892E-04   1132.807       11.77441       6.534380      -2996534.    
  1020.002       393506.3       4768.496      0.1902619E-04   1135.863       11.76904       6.529416      -2973847.    
  1040.002       393506.3       4766.679      0.1909155E-04   1138.795       11.76365       6.524431      -2951101.    
  1060.002       393506.3       4764.856      0.1915514E-04   1141.611       11.75824       6.519426      -2928297.    
  1080.002       393506.3       4763.028      0.1921708E-04   1144.319       11.75281       6.514400      -2905437.    
  1100.002       393506.3       4761.195      0.1927750E-04   1146.928       11.74736       6.509355      -2882525.    
  1120.002       393506.3       4759.357      0.1933650E-04   1149.443       11.74189       6.504290      -2859561.    
  1140.002       393506.3       4757.514      0.1939420E-04   1151.872       11.73641       6.499206      -2836548.    
  1160.002       393506.3       4755.666      0.1945067E-04   1154.220       11.73091       6.494103      -2813487.    
  1180.002       393506.3       4753.814      0.1950601E-04   1156.492       11.72539       6.488982      -2790380.    
  1200.002       393506.3       4751.957      0.1956030E-04   1158.693       11.71985       6.483842      -2767228.    
  1220.002       393506.3       4750.096      0.1961361E-04   1160.829       11.71430       6.478684      -2744033.    
  1240.002       393506.3       4748.231      0.1966601E-04   1162.902       11.70873       6.473509      -2720795.    
  1260.002       393506.3       4746.361      0.1971756E-04   1164.917       11.70314       6.468315      -2697517.    
  1280.002       393506.3       4744.487      0.1976832E-04   1166.878       11.69754       6.463104      -2674199.    
  1300.002       393506.3       4742.609      0.1981835E-04   1168.788       11.69192       6.457876      -2650843.    
  1320.002       393506.3       4740.728      0.1986769E-04   1170.651       11.68629       6.452630      -2627448.    
  1340.002       393506.3       4738.842      0.1991639E-04   1172.468       11.68064       6.447367      -2604017.    
  1360.002       393506.3       4736.952      0.1996449E-04   1174.243       11.67497       6.442087      -2580550.    
  1380.002       393506.3       4735.059      0.2001205E-04   1175.978       11.66929       6.436791      -2557048.    
