-37.6553811799	-417.061376465	-5.38481855
-42.2887923247	-415.157970718	-5.55022483
-46.9220225413	-413.254345656	-5.80187946
-51.5550723518	-411.350502742	-6.14105642
-56.1879440198	-409.446443452	-6.45038386
-60.820637185	-407.542167021	-6.86703072
-65.4531523241	-405.637677137	-7.30785289
-70.0854916874	-403.732973052	-7.6754798
-74.7176548791	-401.828055109	-8.2809337
-79.3496432295	-399.922925891	-8.77777811
-83.9814571885	-398.01758686	-9.51198411
-88.613098107	-396.112036148	-10.04166298
-93.2445663957	-394.206277442	-10.7139643
-97.875863365	-392.300311099	-11.53519361
-102.506989426	-390.39413858	-12.33842687
-107.137945006	-388.48775912	-13.26596111
-111.768732228	-386.581176424	-14.15995385
-116.399350636	-384.674388604	-15.26840067
-121.029801467	-382.767398241	-16.47765864
-125.660085084	-380.860206794	-17.65113955
-130.290202733	-378.952814619	-19.17753222
-134.920155651	-377.045222075	-20.70367145
-139.549945037	-375.137431745	-22.55089629
-144.179570366	-373.229442848	-24.23659793
-148.809032815	-371.321257965	-26.08672608
-153.438333584	-369.412877454	-28.42113627
-158.067472988	-367.504301658	-30.81493244
-162.696452171	-365.595533159	-32.96804673
-167.325272306	-363.686572315	-35.58891111
-171.953934561	-361.777419486	-37.87772791
-176.582438332	-359.868074996	-41.07058284
-181.210785582	-357.958542556	-43.16712814
-185.838976591	-356.048821396	-45.92141711
-190.46701249	-354.138911874	-48.84220062
-195.094894354	-352.228816572	-51.25358543
-199.722621531	-350.318535811	-54.43394232
-204.35019689	-348.408069989	-56.93094575
-208.977619736	-346.497420537	-59.54550571
-213.604891987	-344.586590057	-62.940089
-218.232013889	-342.675576666	-66.27216986
-222.858986431	-340.764384056	-68.87572876
-227.485809818	-338.853011455	-72.4215898
-232.112485956	-336.941460355	-76.25417589
-236.739014976	-335.029732205	-80.06440591
-241.365397911	-333.117827365	-83.59891318
-245.991634874	-331.205747283	-88.16234689
-250.617727734	-329.293493452	-92.7437639
-255.243677499	-327.381066236	-98.00294096
-259.869484286	-325.468465968	-103.32299114
-264.495148134	-323.555695206	-108.02625403
-269.12067183	-321.642753251	-114.46432193
-273.746054511	-319.729642635	-120.45031085
-278.371298026	-317.816363743	-127.44450562
-282.996402412	-315.902918021	-134.96371465
-287.621369503	-313.989305859	-140.62728408
-292.246199316	-312.0755287	-150.27440874
-296.870892783	-310.161586906	-157.2489209
-301.495450791	-308.247481949	-166.38883277
-306.119875139	-306.333214221	-175.77231992
-310.744164885	-304.418786246	-184.77755529
-315.368321812	-302.504198416	-197.88170634
-319.992346809	-300.589451093	-206.89551964
-324.616239829	-298.674545719	-219.76483972
-329.24000352	-296.75948272	-233.85951259
-333.863637777	-294.844264649	-246.14356912
-338.487142607	-292.928890725	-264.46752649
-343.110519706	-291.013362454	-278.56455953
-347.733768938	-289.097682389	-296.28117912
-352.356892995	-287.181848738	-317.54027684
-356.979891683	-285.265865163	-336.89318239
-361.602764969	-283.349730883	-360.26119944
-366.225515349	-281.433448554	-375.1022185
-370.848141885	-279.517017356	-405.50295452
-375.470647056	-277.600439949	-439.07859115
-380.093030751	-275.68371666	-469.9086606
-384.715293743	-273.766847854	-493.07466711
-389.337437642	-271.849835044	-511.08708942
-393.959462264	-269.932679667	-526.03339275
-398.581369248	-268.015382127	-539.95398238
-403.203159287	-266.097943902	-552.49304034
-407.824833111	-264.180365355	-564.61881948
-412.446391346	-262.262649075	-576.42458218
-417.067834756	-260.344794316	-587.94416018
-421.689163999	-258.426802555	-595.19535991
