X,Y,Z
-5127683.656640942,1135410.8953346491,-3369762.9614221756
-5127766.212498964,1135037.996624465,-3369762.9614221756
-5127279.196982871,1136103.6579015695,-3370144.8803707766
-5116049.197140283,707066.6060934525,-3501956.228593921
-5116203.333389955,705950.4404855641,-3501956.228593921
-5116053.657862223,705171.5359670834,-3502331.805345746
-5115852.598535868,704764.7232997485,-3502707.3635755004
-5115399.096088912,704323.189927874,-3503458.4244518387
-5114329.248037683,708345.0748124567,-3504209.4112160653
-5114843.01871555,704625.6426227723,-3504209.4112160653
-5114231.218398227,707194.3764100113,-3504584.8768056743
-5112802.963476804,711923.5231483303,-3505711.162353635
-5111726.81932243,715942.5125803727,-3506461.926686199
-5111526.322288629,715535.4224939888,-3506837.281042111
-5110780.62388078,626959.0577765855,-3524832.443455529
-5110180.485787347,627639.8806016569,-3525581.3113522907
-5108429.3869663365,637608.9641942445,-3526330.1046779333
-5108475.74168328,637237.4670996484,-3526330.1046779333
-5107942.73869281,639434.5438143227,-3526704.473359281
-5108360.153553003,636091.266391527,-3526704.473359281
-5110007.928627727,622715.4462107162,-3526704.473359281
-5105329.548665234,657970.4955835302,-3527078.8233986506
-5108520.842238787,632716.190676922,-3527078.8233986506
-5108612.813052672,631973.1796895027,-3527078.8233986506
-5108796.430453847,630487.1178024397,-3527078.8233986506
-5105027.282677181,658308.9577990726,-3527453.154785069
-5105075.142760376,657937.7079686067,-3527453.154785069
-5105122.975845394,657566.4546586389,-3527453.154785069
-5105170.78192051,657195.1979602313,-3527453.154785069
-5105266.313097391,656452.6739604551,-3527453.154785069
-5105314.0381757235,656081.4068412152,-3527453.154785069
-5105552.258616585,654225.0188826099,-3527453.154785069
-5108633.493827847,629712.6857044812,-3527453.154785069
-5107086.126277938,640081.7590577265,-3527827.467507584
-5104041.544173523,655917.8792601656,-3529324.5318357465
-5105178.56235604,647008.6517525906,-3529324.5318357465
-5105834.641532241,641810.6903999957,-3529324.5318357465
-5107216.014698114,626521.7734987076,-3530072.952014326
-5106961.197139314,626490.514051604,-3530447.1341059245
-5102688.570691701,658384.6257801822,-3530821.297526764
-5102736.436272328,658013.5461145212,-3530821.297526764
-5102832.08649888,657271.376167341,-3530821.297526764
-5102879.871121344,656900.2860678615,-3530821.297526764
-5102927.628768711,656529.1924053081,-3530821.297526764
-5102386.009460911,658722.8240908255,-3531195.4422658873
-5101924.476597999,658286.0370074258,-3531943.675735967
-5101048.772394208,657041.6760134172,-3533439.9184982637
-5101096.540317124,656670.7156007856,-3533439.9184982637
-5101144.281274369,656299.7516263253,-3533439.9184982637
-5104921.684507145,626240.3192159631,-3533439.9184982637
-5101080.093937024,654783.1441301154,-3533813.9324818063
-5104666.623923539,626209.0299560747,-3533813.9324818063
-5100872.78688046,654379.4795217979,-3534187.927776785
-5100665.421132983,653975.8449810948,-3534561.904372246
-5103352.948319588,630568.8974371369,-3534935.8622841625
-5100203.000262046,653539.5653859584,-3535309.801501582
-5102684.028455632,633877.2066817436,-3535309.801501582
-5102311.861890061,632700.6756175843,-3536057.6238360466
-5102724.870650183,629361.0850370625,-3536057.6238360466
-5103135.69356508,626021.2248582436,-3536057.6238360466
-5102606.818661776,628216.4043865316,-3536431.506958109
-5102652.490358961,627845.3306567577,-3536431.506958109
-5102698.135059827,627474.253695688,-3536431.506958109
-5102834.907269758,626361.0027318378,-3536431.506958109
-5099051.692344766,650377.0437404139,-3537553.044092973
-5098843.76908592,649973.6961061276,-3537926.8523845733
-5098635.787147279,649570.3788055297,-3538300.641974829
-5098474.941847371,648796.3217955121,-3538674.412852793
-5100248.380492502,634704.54315733,-3538674.412852793
-5100294.524026725,634333.6409208815,-3538674.412852793
-5100340.640576988,633962.7354187781,-3538674.412852793
-5100708.601992145,630995.3703350542,-3538674.412852793
-5100754.475775465,630624.4347291812,-3538674.412852793
-5100800.322594469,630253.4956992288,-3538674.412852793
-5100846.142437903,629882.5533361846,-3538674.412852793
-5098105.735743699,647619.1256553628,-3539421.8984549707
-5097897.460559443,647215.959710118,-3539795.6131841983
-5097689.126756701,646812.823973336,-3540169.3091842574
-5100235.40983443,626418.411751188,-3540169.3091842574
-5097480.734316314,646409.7185409666,-3540542.9864711156
-5099979.868091302,626387.025738582,-3540542.9864711156
-5100025.406748326,626016.1431399131,-3540542.9864711156
-5097272.283237549,646006.6435112815,-3540916.64503382
-5099769.835751951,625984.7724002228,-3540916.64503382
-5097110.709697893,645232.9280415503,-3541290.284861433
-5099194.932768117,628549.2470586498,-3541290.284861433
-5099240.628668363,628178.4215363617,-3541290.284861433
-5099559.744926497,625582.5495258243,-3541290.284861433
-5096902.112070686,644829.9288334529,-3541663.9059699057
-5098802.081194555,629630.1406032415,-3541663.9059699057
-5098847.855700624,629259.3436470611,-3541663.9059699057
-5098893.603252437,628888.5432740562,-3541663.9059699057
-5098939.323838762,628517.7395751734,-3541663.9059699057
-5098985.017448396,628146.9326413715,-3541663.9059699057
-5099304.11771009,625551.1907549172,-3541663.9059699057
-5096693.455843072,644426.9598799533,-3542037.5083483052
-5098637.969649562,628857.0138763803,-3542037.5083483052
-5098683.687943681,628486.2287677826,-3542037.5083483052
-5098729.37926246,628115.440424428,-3542037.5083483052
-5099048.463526027,625519.8286757843,-3542037.5083483052
-5098428.025090365,628454.7146374008,-3542411.091985681
-5098473.714118048,628083.9448864539,-3542411.091985681
-5098172.33526789,628423.1971826819,-3542784.6568979938
-5098218.0220042365,628052.4460261039,-3542784.6568979938
-5097559.434109696,624960.8833791823,-3544278.7291584658
-5097093.147146231,624527.4774591735,-3545025.6528286817
-5094906.05990701,640060.5891876079,-3545399.0865474716
-5094696.759248828,639657.9545764785,-3545772.501507468
-5096370.758710673,624062.7867527888,-3546145.897724619
-5094231.510089594,639223.2413878202,-3546519.2751879906
-5096114.774175549,624031.4408343072,-3546519.2751879906
-5094022.063032028,638820.682996086,-3546892.6338866437
-5094925.132276915,623133.641544522,-3548385.8811110887
-5094714.281309063,622731.816622293,-3548759.146010305
-5094503.37190652,622330.0223720979,-3549132.392132962
-5092461.737733519,636744.3025999687,-3549505.619495001
-5094292.404050602,621928.2588898432,-3549505.619495001
-5093825.110130491,621495.2589096815,-3550252.0178935025
-5091831.991806854,635537.3591794113,-3550625.188934972
-5093613.996214027,621093.5720751494,-3550625.188934972
-5093402.823865981,620691.9160390393,-3550998.341198971
-5093191.593118645,620290.2906328038,-3551371.4746745713
-5092980.303953342,619888.695952337,-3551744.5893777097
-5090945.397438155,634298.7546103969,-3552117.6852974575
-5090268.457522092,633462.5835551454,-3553236.8603276773
-5090058.074247567,633060.513569524,-3553609.881085181
-5089939.595096244,631918.1791968968,-3553982.8830583836
-5091801.097488319,616739.2078867513,-3553982.8830583836
-5091845.934568727,616368.9200016116,-3553982.8830583836
