# Latitude   Longitude    X             Y            Z         Velocity     Azimuth      Mag_percent
-3.87787e+01 1.75921e+02 -5.00000e+01 0.00000e+00 0.00000e+00 3.83000e+00 7.50300e+01 1.13000e-01
-3.88994e+01 1.76092e+02 -3.00000e+01 0.00000e+00 0.00000e+00 4.76000e+00 4.33200e+01 1.11900e+00
-3.90199e+01 1.76264e+02 -1.00000e+01 0.00000e+00 0.00000e+00 5.15000e+00 5.01700e+01 2.25900e+00
-3.91401e+01 1.76436e+02 1.00000e+01 0.00000e+00 0.00000e+00 4.82000e+00 4.57000e+01 5.08400e+00
-3.92600e+01 1.76609e+02 3.00000e+01 0.00000e+00 0.00000e+00 4.31000e+00 5.18800e+01 3.16700e+00
-3.93797e+01 1.76782e+02 5.00000e+01 0.00000e+00 0.00000e+00 3.26000e+00 1.27600e+02 5.70000e+00
-3.94991e+01 1.76956e+02 7.00000e+01 0.00000e+00 0.00000e+00 3.55000e+00 1.02600e+02 1.22400e+00
-3.96182e+01 1.77131e+02 9.00000e+01 0.00000e+00 0.00000e+00 3.82000e+00 5.86400e+01 8.76000e-01
-3.97964e+01 1.77394e+02 1.20000e+02 0.00000e+00 0.00000e+00 3.53000e+00 2.05700e+01 1.97000e-01
-3.81861e+01 1.74591e+02 -1.80000e+02 3.00000e+01 0.00000e+00 4.30000e+00 3.29800e+01 4.95000e-01
-3.84005e+01 1.74884e+02 -1.45000e+02 3.00000e+01 0.00000e+00 4.44000e+00 1.34800e+01 1.67200e+00
-3.85533e+01 1.75095e+02 -1.20000e+02 3.00000e+01 0.00000e+00 4.24000e+00 2.56300e+01 1.24200e+00
-3.87057e+01 1.75306e+02 -9.50000e+01 3.00000e+01 0.00000e+00 4.19000e+00 8.59100e+01 2.32000e-01
-3.88577e+01 1.75518e+02 -7.00000e+01 3.00000e+01 0.00000e+00 4.04000e+00 6.20700e+01 1.67000e-01
-3.89790e+01 1.75689e+02 -5.00000e+01 3.00000e+01 0.00000e+00 4.37000e+00 -1.25600e+00 1.37500e+00
-3.91000e+01 1.75860e+02 -3.00000e+01 3.00000e+01 0.00000e+00 4.29000e+00 2.93500e+01 2.41100e+00
-3.92208e+01 1.76032e+02 -1.00000e+01 3.00000e+01 0.00000e+00 4.54000e+00 8.26700e+01 7.06000e-01
-3.93413e+01 1.76204e+02 1.00000e+01 3.00000e+01 0.00000e+00 4.52000e+00 1.06800e+02 1.10400e+00
-3.94616e+01 1.76377e+02 3.00000e+01 3.00000e+01 0.00000e+00 4.91000e+00 1.16100e+02 3.27400e+00
-3.95816e+01 1.76551e+02 5.00000e+01 3.00000e+01 0.00000e+00 3.50000e+00 5.95800e+01 2.44400e+00
-3.97014e+01 1.76725e+02 7.00000e+01 3.00000e+01 0.00000e+00 4.32000e+00 1.90700e+01 1.53900e+00
-3.98208e+01 1.76899e+02 9.00000e+01 3.00000e+01 0.00000e+00 4.17000e+00 2.24400e+01 3.00500e+00
-3.99995e+01 1.77162e+02 1.20000e+02 3.00000e+01 0.00000e+00 3.57000e+00 2.02000e+01 2.04000e-01
-3.83837e+01 1.74357e+02 -1.80000e+02 6.00000e+01 0.00000e+00 4.31000e+00 4.50000e+01 0.00000e+00
-3.85988e+01 1.74650e+02 -1.45000e+02 6.00000e+01 0.00000e+00 4.42000e+00 9.35900e+00 1.31300e+00
-3.87519e+01 1.74861e+02 -1.20000e+02 6.00000e+01 0.00000e+00 4.20000e+00 1.53600e+01 4.56000e-01
-3.89047e+01 1.75072e+02 -9.50000e+01 6.00000e+01 0.00000e+00 4.16000e+00 7.74900e+01 5.50000e-02
-3.90571e+01 1.75285e+02 -7.00000e+01 6.00000e+01 0.00000e+00 4.44000e+00 2.54900e+01 1.81500e+00
-3.91788e+01 1.75456e+02 -5.00000e+01 6.00000e+01 0.00000e+00 4.75000e+00 4.48200e+01 1.52900e+00
-3.93001e+01 1.75627e+02 -3.00000e+01 6.00000e+01 0.00000e+00 4.38000e+00 5.29700e+01 3.65100e+00
-3.94213e+01 1.75799e+02 -1.00000e+01 6.00000e+01 0.00000e+00 4.68000e+00 3.68000e+01 2.37100e+00
-3.95421e+01 1.75971e+02 1.00000e+01 6.00000e+01 0.00000e+00 4.90000e+00 1.11300e+02 3.77600e+00
-3.96628e+01 1.76144e+02 3.00000e+01 6.00000e+01 0.00000e+00 4.82000e+00 4.85300e+01 2.53100e+00
-3.97831e+01 1.76318e+02 5.00000e+01 6.00000e+01 0.00000e+00 4.19000e+00 5.30000e+01 9.97000e-01
-3.99032e+01 1.76492e+02 7.00000e+01 6.00000e+01 0.00000e+00 4.41000e+00 1.80500e+01 1.49400e+00
-4.00230e+01 1.76667e+02 9.00000e+01 6.00000e+01 0.00000e+00 4.05000e+00 2.70000e+01 5.15000e-01
-4.02022e+01 1.76930e+02 1.20000e+02 6.00000e+01 0.00000e+00 3.69000e+00 3.05500e+01 5.99000e-01
-3.86464e+01 1.74043e+02 -1.80000e+02 1.00000e+02 0.00000e+00 4.31000e+00 4.50000e+01 0.00000e+00
-3.88623e+01 1.74336e+02 -1.45000e+02 1.00000e+02 0.00000e+00 4.28000e+00 -3.15900e+01 7.90000e-02
-3.90160e+01 1.74547e+02 -1.20000e+02 1.00000e+02 0.00000e+00 4.17000e+00 1.67900e+01 2.87000e-01
-3.91694e+01 1.74759e+02 -9.50000e+01 1.00000e+02 0.00000e+00 4.20000e+00 -4.14100e+01 3.21000e-01
-3.93223e+01 1.74971e+02 -7.00000e+01 1.00000e+02 0.00000e+00 4.13000e+00 1.12600e+02 4.37000e-01
-3.94444e+01 1.75142e+02 -5.00000e+01 1.00000e+02 0.00000e+00 4.42000e+00 -3.97300e+01 5.59000e-01
-3.95663e+01 1.75314e+02 -3.00000e+01 1.00000e+02 0.00000e+00 4.39000e+00 -4.26500e+01 6.40000e-02
-3.96878e+01 1.75485e+02 -1.00000e+01 1.00000e+02 0.00000e+00 4.29000e+00 -3.98900e+00 2.59000e-01
-3.98092e+01 1.75658e+02 1.00000e+01 1.00000e+02 0.00000e+00 4.33000e+00 2.79500e+01 8.53000e-01
-3.99302e+01 1.75831e+02 3.00000e+01 1.00000e+02 0.00000e+00 4.33000e+00 2.34700e+01 7.00000e-01
-4.00510e+01 1.76005e+02 5.00000e+01 1.00000e+02 0.00000e+00 4.13000e+00 5.43900e+01 4.67000e-01
-4.01715e+01 1.76179e+02 7.00000e+01 1.00000e+02 0.00000e+00 4.32000e+00 1.17600e+02 6.93000e-01
-4.02918e+01 1.76354e+02 9.00000e+01 1.00000e+02 0.00000e+00 4.10000e+00 3.58200e+01 3.33000e-01
-4.04716e+01 1.76618e+02 1.20000e+02 1.00000e+02 0.00000e+00 3.65000e+00 3.93800e+01 5.60000e-02
-3.89082e+01 1.73727e+02 -1.80000e+02 1.40000e+02 0.00000e+00 4.31000e+00 4.50000e+01 0.00000e+00
-3.91249e+01 1.74020e+02 -1.45000e+02 1.40000e+02 0.00000e+00 4.26000e+00 3.73700e+01 3.40000e-02
-3.92792e+01 1.74231e+02 -1.20000e+02 1.40000e+02 0.00000e+00 4.03000e+00 1.56100e+01 9.58000e-01
-3.94331e+01 1.74443e+02 -9.50000e+01 1.40000e+02 0.00000e+00 4.04000e+00 8.42500e+00 5.82000e-01
-3.95867e+01 1.74655e+02 -7.00000e+01 1.40000e+02 0.00000e+00 4.11000e+00 1.28700e+02 2.47000e-01
-3.97092e+01 1.74826e+02 -5.00000e+01 1.40000e+02 0.00000e+00 4.25000e+00 3.47500e+01 1.91000e-01
-3.98315e+01 1.74998e+02 -3.00000e+01 1.40000e+02 0.00000e+00 4.26000e+00 1.30800e+01 9.82000e-01
-3.99535e+01 1.75170e+02 -1.00000e+01 1.40000e+02 0.00000e+00 4.22000e+00 1.20100e+02 6.90000e-02
-4.00753e+01 1.75342e+02 1.00000e+01 1.40000e+02 0.00000e+00 4.20000e+00 2.59800e+01 1.70000e-01
-4.01968e+01 1.75516e+02 3.00000e+01 1.40000e+02 0.00000e+00 4.15000e+00 3.56300e+01 2.81000e-01
-4.03181e+01 1.75690e+02 5.00000e+01 1.40000e+02 0.00000e+00 4.23000e+00 -1.42700e+01 1.49500e+00
-4.04391e+01 1.75864e+02 7.00000e+01 1.40000e+02 0.00000e+00 4.38000e+00 1.26200e+02 9.74000e-01
-4.05598e+01 1.76039e+02 9.00000e+01 1.40000e+02 0.00000e+00 4.13000e+00 9.41500e+01 2.72000e-01
-4.07403e+01 1.76303e+02 1.20000e+02 1.40000e+02 0.00000e+00 3.68000e+00 2.87700e+01 3.79000e-01
-3.91692e+01 1.73408e+02 -1.80000e+02 1.80000e+02 0.00000e+00 4.31000e+00 4.50000e+01 0.00000e+00
-3.93866e+01 1.73702e+02 -1.45000e+02 1.80000e+02 0.00000e+00 4.27000e+00 7.25800e+01 6.40000e-02
-3.95415e+01 1.73913e+02 -1.20000e+02 1.80000e+02 0.00000e+00 4.21000e+00 2.37500e+01 1.29000e-01
-3.96960e+01 1.74124e+02 -9.50000e+01 1.80000e+02 0.00000e+00 4.17000e+00 -4.19800e+00 3.00000e-02
-3.98501e+01 1.74337e+02 -7.00000e+01 1.80000e+02 0.00000e+00 4.08000e+00 -1.14400e+01 3.70000e-02
-3.99731e+01 1.74508e+02 -5.00000e+01 1.80000e+02 0.00000e+00 4.36000e+00 4.42500e+01 1.10000e-02
-4.00959e+01 1.74680e+02 -3.00000e+01 1.80000e+02 0.00000e+00 4.45000e+00 6.83700e+01 3.60000e-02
-4.02184e+01 1.74852e+02 -1.00000e+01 1.80000e+02 0.00000e+00 4.44000e+00 4.13700e+01 1.30000e-02
-4.03406e+01 1.75024e+02 1.00000e+01 1.80000e+02 0.00000e+00 4.31000e+00 2.78800e+01 1.04000e-01
-4.04626e+01 1.75198e+02 3.00000e+01 1.80000e+02 0.00000e+00 4.33000e+00 6.33700e+00 2.75000e-01
-4.05843e+01 1.75372e+02 5.00000e+01 1.80000e+02 0.00000e+00 4.10000e+00 2.12300e+01 7.42000e-01
-4.07058e+01 1.75547e+02 7.00000e+01 1.80000e+02 0.00000e+00 4.36000e+00 5.48700e+01 1.00200e+00
-4.08269e+01 1.75722e+02 9.00000e+01 1.80000e+02 0.00000e+00 4.14000e+00 5.44800e+01 4.25000e-01
-4.10082e+01 1.75986e+02 1.20000e+02 1.80000e+02 0.00000e+00 3.70000e+00 6.35900e+01 3.36000e-01
-3.73243e+01 1.75590e+02 -1.80000e+02 -1.00000e+02 4.00000e+00 5.18000e+00 -8.95400e+00 1.38700e+00
-3.75362e+01 1.75883e+02 -1.45000e+02 -1.00000e+02 4.00000e+00 4.98000e+00 1.26700e+02 2.04000e-01
-3.76872e+01 1.76093e+02 -1.20000e+02 -1.00000e+02 4.00000e+00 5.11000e+00 1.19600e+02 2.43000e-01
-3.78378e+01 1.76304e+02 -9.50000e+01 -1.00000e+02 4.00000e+00 5.70000e+00 -4.32900e+01 1.59700e+00
-3.79880e+01 1.76516e+02 -7.00000e+01 -1.00000e+02 4.00000e+00 5.27000e+00 6.82700e+00 2.79200e+00
