X,Y,Z
-5188789.305864973,632315.8971619853,-3642290.9199482575
-5192770.700404734,596423.6234078731,-3642671.041208518
-5192857.391776769,595668.359248849,-3642671.041208518
-5190080.584343913,617157.108100538,-3643051.1431954023
-5190125.451555009,616779.6731277579,-3643051.1431954023
-5190170.29130738,616402.2349837223,-3643051.1431954023
-5192594.201342982,595638.1688927433,-3643051.1431954023
-5189952.006320084,615993.566563589,-3643431.225925144
-5189996.788916386,615616.1409443418,-3643431.225925144
-5190220.290162445,613728.9642339362,-3643431.225925144
-5190487.585860127,611464.2450589517,-3643431.225925144
-5192287.655874362,595985.5708054658,-3643431.225925144
-5192330.983441861,595607.9753858824,-3643431.225925144
-5190224.43395757,611433.2445071209,-3643811.2893866105
-5190268.8849171465,611055.7990884339,-3643811.2893866105
-5191894.271861038,597088.0648239682,-3643811.2893866105
-5192067.738081113,595577.7787291508,-3643811.2893866105
-5189916.778460132,611779.6637687312,-3644191.333568674
-5189961.254612843,611402.2407224713,-3644191.333568674
-5190005.703318456,611024.8144428097,-3644191.333568674
-5190050.124566078,610647.3850223297,-3644191.333568674
-5191195.442417013,600833.0907763006,-3644191.333568674
-5191587.574855669,597435.3328580443,-3644191.333568674
-5189698.047814706,611371.2337036788,-3644571.3584875613
-5189742.494266122,610993.8265650392,-3644571.3584875613
-5190888.46769851,601180.113449171,-3644571.3584875613
-5191193.828475853,598537.5912057229,-3644571.3584875613
-5191541.164992626,595517.3759674379,-3644571.3584875613
-5189479.25776785,610962.8354560297,-3644951.364132144
-5189568.06381728,610208.0498641323,-3644951.364132144
-5190930.518362341,598507.2319075945,-3644951.364132144
-5191191.172258952,596242.2042861104,-3644951.364132144
-5189215.9938313505,610931.8411166891,-3645331.3504912937
-5189260.40831985,610554.4691257403,-3645331.3504912937
-5189304.795375622,610177.0938153052,-3645331.3504912937
-5188908.262757972,611278.1932492924,-3645711.317581239
-5188952.702445381,610900.8435456936,-3645711.317581239
-5188997.114680371,610523.4907019135,-3645711.317581239
-5189041.499484024,610146.1345388156,-3645711.317581239
-5190447.322312527,598069.045477843,-3645711.317581239
-5188644.946185379,611247.1732985444,-3646091.2653908515
-5188689.383617651,610869.8427439505,-3646091.2653908515
-5188733.793598896,610492.509049335,-3646091.2653908515
-5188778.176150195,610115.1720355699,-3646091.2653908515
-5188292.649519861,611970.7631333517,-3646471.1939090057
-5188337.139563331,611593.4582871381,-3646471.1939090057
-5188381.602178973,611216.1501159619,-3646471.1939090057
-5188559.17824111,609706.885217609,-3646471.1939090057
-5186044.660574338,628537.0394559042,-3646851.103151924
-5188029.282583792,611939.6984121153,-3646851.103151924
-5188340.120934479,609298.6303457374,-3646851.103151924
-5188384.416665503,608921.3219638156,-3646851.103151924
-5190949.2900469145,586654.4976398217,-3646851.103151924
-5185827.059433822,628128.0065025621,-3647230.993108481
-5188165.270307308,608513.1148019952,-3647230.993108481
-5188209.508903873,608135.8192281986,-3647230.993108481
-5187368.851981035,613009.2821661724,-3647610.863767552
-5187413.417550172,612632.0444976549,-3647610.863767552
-5187990.273500233,607727.6598871523,-3647610.863767552
-5188034.454987977,607350.3769510121,-3647610.863767552
-5190889.758876092,582442.6990874193,-3647610.863767552
-5190974.416825095,581687.7086481177,-3647610.863767552
-5187770.978728218,607319.5324361827,-3647990.715145361
-5188386.607256164,602037.5036973252,-3647990.715145361
-5187551.624588197,606911.4369752012,-3648370.5472307843
-5188166.837754851,601629.6316836237,-3648370.5472307843
-5184956.060028209,626492.1913990594,-3648750.360012692
-5187288.09122229,606880.6052022632,-3648750.360012692
-5187947.008929118,601221.7917296992,-3648750.360012692
-5188988.436683267,592166.2049413141,-3648750.360012692
-5187024.530417099,606849.7702190987,-3649130.153507314
-5187683.414644991,601191.2442650625,-3649130.153507314
-5186760.942180345,606818.9320266112,-3649509.92770352
-5187419.792925818,601160.6936210279,-3649509.92770352
-5186497.326519747,606788.0906257037,-3649889.682590191
-5187199.84548403,600752.9175394205,-3649889.682590191
-5191020.6348745115,566790.1491987071,-3649889.682590191
-5183947.663078586,625987.8602145859,-3650269.4181835447
-5185211.562822119,615430.9250027714,-3650269.4181835447
-5185968.441947025,609020.1095230866,-3650269.4181835447
-5186012.717429713,608642.9736152779,-3650269.4181835447
-5186056.965486185,608265.8344886645,-3650269.4181835447
-5186233.68342405,606757.2460150593,-3650269.4181835447
-5187023.483339954,599967.9641062672,-3650269.4181835447
-5188234.394576715,589404.8198014266,-3650269.4181835447
-5183684.10877784,625956.0347017726,-3650649.1344724596
-5184947.944264125,615399.6362094351,-3650649.1344724596
-5184992.6836818205,615022.5744974489,-3650649.1344724596
-5185082.080243789,614268.4414083327,-3650649.1344724596
-5185704.784908946,608989.1466585791,-3650649.1344724596
-5185793.303947528,608234.9099718492,-3650649.1344724596
-5185837.522318742,607857.7868930218,-3650649.1344724596
-5185970.012900971,606726.3981955808,-3650649.1344724596
-5186759.772663081,599937.4614570263,-3650649.1344724596
-5184684.298291876,615368.3441623105,-3651028.8314458183
-5185441.10045261,608958.1805741775,-3651028.8314458183
-5185485.371433091,608581.0830158913,-3651028.8314458183
-5185529.614990146,608203.9822391277,-3651028.8314458183
-5185573.831112931,607826.8783363812,-3651028.8314458183
-5185618.0198224345,607449.7711286419,-3651028.8314458183
-5185662.181107809,607072.6607084059,-3651028.8314458183
-5186539.647316363,599529.7813844181,-3651028.8314458183
-5185221.657295785,608550.1328880262,-3651408.509119833
-5186319.46267098,599122.13333133,-3651408.509119833
-5182984.254317073,625106.7103540329,-3651788.1674833843
-5184603.016191573,611535.5626008984,-3651788.1674833843
-5186099.21872747,598714.5173976264,-3651788.1674833843
-5187264.794160194,588530.4878207706,-3651788.1674833843
-5191447.54838938,550414.8727553136,-3651788.1674833843
-5184205.732319196,612635.4853977838,-3652167.806525354
-5184250.270713433,612258.4777587707,-3652167.806525354
-5184383.721415239,611127.4352411781,-3652167.806525354
-5185922.411916441,597929.8040426999,-3652167.806525354
-5186052.736546806,596798.3970614902,-3652167.806525354
-5186096.123230781,596421.2551464358,-3652167.806525354
-5183584.684751663,615620.1060030091,-3652547.426261957
-5183941.960770436,612604.3146034225,-3652547.426261957
-5184164.367285837,610719.3396896751,-3652547.426261957
-5184386.088390343,608834.2840312459,-3652547.426261957
-5185918.942196987,595636.6542361627,-3652547.426261957
-5186608.486259945,589602.1617696863,-3652547.426261957
-5188676.52978099,571116.5977338218,-3652547.426261957
-5190999.314246423,549603.874076891,-3652547.426261957
-5183320.903968602,615588.7785021568,-3652927.026682074
-5183678.161806414,612573.1405693052,-3652927.026682074
-5183944.953803662,610311.276046254,-3652927.026682074
-5183989.323177342,609934.2873777322,-3652927.026682074
-5184033.665146159,609557.295393096,-3652927.026682074
-5184077.979699225,609180.3001848175,-3652927.026682074
-5184122.266825682,608803.301845372,-3652927.026682074
-5185698.342625365,595229.2306567307,-3652927.026682074
-5185957.566722218,592966.4863145557,-3652927.026682074
-5182020.260347534,624225.8012435758,-3653306.60777459
-5183369.776416485,612918.9102341576,-3653306.60777459
-5185564.142294531,594067.6356608721,-3653306.60777459
-5189218.890174694,561247.8413719113,-3653306.60777459
-5189259.691551136,560870.4692111402,-3653306.60777459
-5189300.46548419,560493.0940842067,-3653306.60777459
-5189463.286758701,558983.5641359183,-3653306.60777459
-5183105.924894337,612887.7105331146,-3653686.1695557134
-5187967.325769577,570274.8470207745,-3653686.1695557134
-5188545.23869472,564992.6374880063,-3653686.1695557134
-5190206.757610745,549519.9611015611,-3653686.1695557134
-5181538.043951595,623785.436960103,-3654065.712014328
-5182842.045961347,612856.5075908169,-3654065.712014328
-5187951.522170275,567982.1968093257,-3654065.712014328
-5187992.813286254,567604.916796359,-3654065.712014328
-5189016.173618941,558171.946806964,-3654065.712014328
-5189942.517164758,549491.9842970943,-3654065.712014328
-5182399.656705651,614332.8263609735,-3654445.23513932
-5182444.3185494775,613955.9499685261,-3654445.23513932
-5182488.952985959,613579.0703291739,-3654445.23513932
-5188751.952901002,558143.525120158,-3654445.23513932
-5189397.869819834,552105.7616769559,-3654445.23513932
-5189678.249278118,549464.0045873122,-3654445.23513932
-5188811.524860488,555096.4664422887,-3654824.7389468974
-5189373.984099224,549813.4053803075,-3654824.7389468974
-5188587.584743875,554690.8693054661,-3655204.2234259453
-5180663.715467842,622151.3988812248,-3655583.688565353
-5188645.074732804,551644.0739697566,-3655583.688565353
-5187775.902889214,557275.2833624505,-3655963.1343813217
-5188099.234548375,554257.0635754344,-3655963.1343813217
-5188420.810233462,551238.6561019212,-3655963.1343813217
-5188156.415322943,551210.5657251987,-3656342.56086274
-5188196.486761238,550833.2709468789,-3656342.56086274
-5188236.530771391,550455.973164929,-3656342.56086274
-5179916.980486959,621679.5991666886,-3656721.9679984977
-5186184.305871177,567025.3912239636,-3656721.9679984977
-5187731.441009007,552691.545732151,-3656721.9679984977
-5187891.99298122,551182.4724340749,-3656721.9679984977
-5187587.448399153,551531.629720626,-3657101.3558047977
-5187747.662971563,550022.5983573785,-3657101.3558047977
-5179434.058084108,621239.5589045391,-3657480.7242705305
-5187363.065978028,551126.277105847,-3657480.7242705305
-5187443.169175585,550371.7999344487,-3657480.7242705305
-5187138.624599867,550720.9572216669,-3657860.0733845816
-5184920.213409196,568795.0858835088,-3658239.403163155
-5184961.563648156,568418.0263114038,-3658239.403163155
-5186874.0904724365,550692.8715084407,-3658239.403163155
-5184697.09964025,568389.0335970783,-3658618.7135951407
-5184142.610332895,570999.1222024474,-3658998.00466943
-5178158.435052778,620704.5758191288,-3659377.276402225
-5184126.745463441,568708.0410207579,-3659377.276402225
-5177894.195461836,620672.9014844657,-3659756.5287824115
-5183862.201311734,568679.0200508494,-3659756.5287824115
-5183265.92538604,571665.594498116,-3660135.7617988857
-5183597.629751534,568649.9960741802,-3660135.7617988857
-5177146.428410723,620201.3676848869,-3660894.169778182
-5182861.315891101,570476.5182929805,-3660894.169778182
-5183109.7398501225,568215.0141934869,-3660894.169778182
-5185021.583609998,550496.1899800729,-3660894.169778182
-5176882.076997722,620169.6994463776,-3661273.3447187934
-5182803.750583199,568562.9060995715,-3661273.3447187934
-5176617.698200453,620138.0279273428,-3661652.50030587
-5182497.710724263,568910.7534064905,-3661652.50030587
-5176353.292026657,620106.3531287098,-3662031.636528309
-5182150.208909582,569635.414422393,-3662031.636528309
-5175869.474677757,619666.5954529055,-3662789.850862154
-5175650.031510175,619258.5478571407,-3663168.9289786485
-5175385.511244582,619226.898415128,-3663547.9877133914
-5175120.96360263,619195.2456975763,-3663927.027082566
-5174546.748000443,619508.2356757018,-3664685.0476798164
-5182731.819426357,546822.9962406025,-3664685.0476798164
-5182771.571815529,546446.0958711089,-3664685.0476798164
-5182811.296795624,546069.1926117364,-3664685.0476798164
-5183207.039013423,542300.0018750575,-3664685.0476798164
-5183246.46247988,541923.0669585798,-3664685.0476798164
-5183521.65919016,539284.4425889482,-3664685.0476798164
-5183560.863348703,538907.484891087,-3664685.0476798164
-5183452.309446822,537372.1426149397,-3665064.0289129782
-5173972.404768601,619821.1323890287,-3665442.9907634626
-5173662.638869804,620165.6658383465,-3665821.933220163
-5173397.933953312,620133.9357252243,-3666200.8562992755
-5181790.84847692,535295.567055656,-3667716.3546996657
-5180504.190606148,545064.2858035648,-3668095.1808061893
-5180543.815104167,544687.547436476,-3668095.1808061893
-5180662.524204139,543557.3151501229,-3668095.1808061893
-5171764.032735774,620319.5890563376,-3668473.9875230924
-5180278.512300708,544659.6532349208,-3668473.9875230924
-5180436.728195924,543152.748336169,-3668473.9875230924
-5171454.016360778,620663.8971456822,-3668852.7748392816
-5180052.775136734,544255.0535845443,-3668852.7748392816
-5180210.873357712,542748.2142767751,-3668852.7748392816
-5180289.758091126,541994.7774381937,-3668852.7748392816
-5180447.198814395,540487.8692905069,-3668852.7748392816
-5181305.28694411,532199.0605394841,-3668852.7748392816
-5170189.5394024,628904.6131083322,-3669231.5427436647
-5171143.94991784,621008.1601420895,-3669231.5427436647
-5180221.108672411,540083.4666972491,-3669231.5427436647
-5180962.407109543,532925.3436013669,-3669231.5427436647
-5169833.123675409,629624.3194817929,-3669610.2912524184
-5170516.861305896,623984.5328898524,-3669610.2912524184
-5170698.152295869,622480.4640938012,-3669610.2912524184
-5179601.124306166,543445.9526214603,-3669610.2912524184
-5170342.603881991,623200.5688063685,-3669989.0203544497
-5179729.521057382,539651.4422888614,-3669989.0203544497
-5169211.640074473,630311.6264272556,-3670367.730038668
-5179188.686110466,542260.3433371668,-3670367.730038668
