publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p574653,earthquake,2024-07-31T14:54:11.779Z,2024-08-06T01:39:00.815Z,-178.47288513183594,-34.01863479614258,5.619686132592248,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,30,24,10,4.399205684661865,166.25901746749878,1.3394729379808814,0.4
2024p514600,earthquake,2024-07-09T09:38:10.072Z,2024-07-14T22:34:44.978Z,-178.51539611816406,-32.99980545043945,5.301680299905467,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,32,25,31,3.760871410369873,164.69922924041748,1.4934752231185615,0.4
2024p499927,earthquake,2024-07-03T23:20:54.860Z,2024-07-08T22:43:26.019Z,-177.93350219726562,-34.648681640625,5.16110909041244,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,40,32,26,4.209306240081787,173.85363674908876,1.8271594557693427,0.4
2024p495642,earthquake,2024-07-02T09:17:35.144Z,2024-07-02T09:30:01.534Z,-179.15440368652344,-35.33930206298828,5.072543477503892,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,37,32,35,3.0184147357940674,157.5049819946289,1.0905607930420855,0.1255641160235193
2024p423234,earthquake,2024-06-05T14:19:45.626Z,2024-06-19T23:47:42.519Z,176.0281525,-38.15227127,5.10753211,170.4443054,M,,LOCSAT,confirmed,manual,iasp91,61,46,54,0.1328115165,60.02348328,0.4962528842,0
2024p333332,earthquake,2024-05-03T07:59:28.578Z,2024-05-29T23:59:55.603Z,166.9929047,-45.41457367,5.057401757,51.12618637,MLv,,LOCSAT,confirmed,manual,iasp91,31,17,21,0.1237093583,130.6778717,0.5737502609,0.223510372
2024p332393,earthquake,2024-05-02T23:37:04.570Z,2024-05-29T23:28:48.448Z,-178.521286,-33.2901268,5.187633707,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,61,47,28,4.044556141,164.8097634,1.78282298,0.4
2024p293147,earthquake,2024-04-18T11:09:04.489Z,2024-04-22T21:46:36.171Z,179.6391144,-35.86474991,5.655675145,64.71903229,M,,LOCSAT,confirmed,manual,iasp91,55,39,48,2.00414896,142.9812908,1.387788779,0
2024p260656,earthquake,2024-04-06T10:37:57.064Z,2024-04-08T06:30:26.330Z,171.1300507,-42.38438034,5.060193701,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,37,27,45,0.3542818427,179.0675182,0.3751294896,0.2204234401
2024p220113,earthquake,2024-03-22T10:36:33.727Z,2024-04-08T06:29:19.851Z,168.0182953,-44.35708237,5.364922717,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,45,33,32,0.3229700327,197.4694901,0.7116355564,0
